"","Compound","S1_EDTA_T0","S2_EDTA_T0","S3_EDTA_T0","S4_EDTA_T0","S1_EDTA_T3","S2_EDTA_T3","S3_EDTA_T3","S4_EDTA_T3","S1_EDTA_T6","S2_EDTA_T6","S3_EDTA_T6","S4_EDTA_T6","S1_EDTA_T9","S2_EDTA_T9","S3_EDTA_T9","S4_EDTA_T9","S1_EDTA_T12","S2_EDTA_T12","S3_EDTA_T12","S4_EDTA_T12","S1_EDTA_T18","S2_EDTA_T18","S3_EDTA_T18","S4_EDTA_T18","S1_EDTA_T24","S2_EDTA_T24","S3_EDTA_T24","S4_EDTA_T24","S1_EDTA_T30","S2_EDTA_T30","S3_EDTA_T30","S4_EDTA_T30","S1_EDTA_T36","S2_EDTA_T36","S3_EDTA_T36","S4_EDTA_T36","S1_EDTA_T48","S2_EDTA_T48","S3_EDTA_T48","S4_EDTA_T48","S1_EDTA_T60","S2_EDTA_T60","S3_EDTA_T60","S4_EDTA_T60","S1_EDTA_T72","S2_EDTA_T72","S3_EDTA_T72","S4_EDTA_T72","S1_EDTA_T96","S2_EDTA_T96","S3_EDTA_T96","S4_EDTA_T96","S1_EDTA_T120","S2_EDTA_T120","S3_EDTA_T120","S4_EDTA_T120","S1_EDTA_T144","S2_EDTA_T144","S3_EDTA_T144","S4_EDTA_T144","S1_EDTA_T168","S2_EDTA_T168","S3_EDTA_T168","S4_EDTA_T168","QC_EDTA_1","QC_EDTA_2","QC_EDTA_3","QC_EDTA_4","QC_EDTA_5","QC_EDTA_6","QC_EDTA_7","QC_EDTA_8","S5_T0_EDTA","S6_T0_EDTA","S7_T0_EDTA","S8_T0_EDTA","S5_T3_EDTA","S6_T3_EDTA","S7_T3_EDTA","S8_T3_EDTA","S5_T6_EDTA","S6_T6_EDTA","S7_T6_EDTA","S8_T6_EDTA","S5_T9_EDTA","S6_T9_EDTA","S7_T9_EDTA","S8_T9_EDTA","S5_T12_EDTA","S6_T12_EDTA","S7_T12_EDTA","S8_T12_EDTA","S5_T18_EDTA","S6_T18_EDTA","S7_T18_EDTA","S8_T18_EDTA","S5_T24_EDTA","S6_T24_EDTA","S7_T24_EDTA","S8_T24_EDTA","S5_T30_EDTA","S6_T30_EDTA","S7_T30_EDTA","S8_T30_EDTA","S5_T36_EDTA","S6_T36_EDTA","S7_T36_EDTA","S8_T36_EDTA","S5_T48_EDTA","S6_T48_EDTA","S7_T48_EDTA","S8_T48_EDTA","S5_T60_EDTA","S6_T60_EDTA","S7_T60_EDTA","S8_T60_EDTA","S5_T72_EDTA","S6_T72_EDTA","S7_T72_EDTA","S8_T72_EDTA","S5_T96_EDTA","S6_T96_EDTA","S7_T96_EDTA","S8_T96_EDTA","S5_T120_EDTA","S6_T120_EDTA","S7_T120_EDTA","S5_T144_EDTA","S6_T144_EDTA","S7_T144_EDTA","S8_T144_EDTA","S5_T168_EDTA","S6_T168_EDTA","S7_T168_EDTA","S8_T168_EDTA","QC_1_S5_S8_EDTA","QC_2_S5_S8_EDTA","QC_4_S5_S8_EDTA","QC_5_S5_S8_EDTA","QC_6_S5_S8_EDTA","QC_7_S5_S8_EDTA","QC_8_S5_S8_EDTA","QC_3_S5_S8_EDTA"
"1","Boric acid, 3TMS derivative",676.66179881551,495.854190385738,758.334113775451,937.341041585292,653.971190082188,524.96593314166,790.528149878856,NA,792.654603326721,759.179348089996,715.012004893506,701.709052007174,1054.5510634967,946.477282543529,662.588470605183,976.011185651831,703.776857693845,975.192741591905,537.097812043295,1080.67632121935,963.547264243558,664.807010417509,672.174741655232,1130.01529368148,1027.31789540065,968.0032375557,557.853065268623,852.625483457728,794.820030835541,546.239167973769,601.006694400047,888.217992781258,1007.01026438985,762.614116009947,985.192655602283,552.787001223352,728.873864544516,1917.29827486267,635.380434938199,553.084312406132,1543.91911563112,768.357615774935,714.176150714461,1440.7928338153,1326.22824355419,702.467699369003,573.011713317349,529.741270392782,991.718251692115,1248.95290025124,1151.70872176726,919.188976045772,2010.52064924365,871.605041633731,1104.8153337263,955.445267223862,793.095829428422,1916.6554915184,2520.53245381176,1586.04328648192,1163.63061447953,980.00114795418,1912.22949278783,810.340718530673,530.016463999285,908.899328236043,857.191833840613,976.794812709555,991.943599530884,1025.68174194586,989.405885540524,771.469667072291,727.780829912131,823.218076264667,1247.10379826246,1044.55108387284,715.948039892857,620.839869056172,NA,1209.51495233635,1028.40281063548,1052.49953792478,1135.47023592498,1196.1326227086,960.793977876577,427.337603922806,608.442235057274,654.121322344619,NA,761.423043494774,NA,1009.25560903238,470.591833971906,562.674763395615,1073.84190883085,1708.61851652678,1077.39997029992,1069.64051304438,1516.56997636132,1084.21120660159,1214.79822642545,788.810450974902,784.928178888528,611.242106043733,819.448068296174,834.648148963497,849.880829392419,863.087121661389,1069.31304266607,658.001330453018,2219.96527468819,1107.93776387369,NA,723.642146079412,893.457340581622,707.899128567305,NA,1761.95064221637,919.027607100226,NA,1085.13163274161,368.812334930914,1098.33458631672,1045.71617179276,380.584739456219,898.124234468323,1680.97277984021,613.416444684049,632.341908740168,1673.42443329793,2625.64068677348,1517.09733461046,266617.225486326,1554.09179353515,677.94496291499,708.92775736082,NA,NA,1039.31002709211,1050.49844057695,927.246757595655,838.097327495369,954.363455718622
"2","Tris(trimethylsilyl)carbamate",18363.9324969974,16900.3924087478,17957.667271247,19064.6182739064,19106.3660637573,14739.750822547,16083.8763512389,21758.487329583,24223.6299615279,16952.4125200124,19258.7414352489,19768.0961488415,22863.788888219,17121.2010182987,14535.4802411902,NA,NA,18011.6070538518,13690.1826085605,23574.2053541428,17195.5548041064,14302.2540238072,18093.691121215,21496.751521054,17563.0086167967,14930.5712239999,14070.2230933986,19098.2326609387,14446.6442886946,12198.869498559,14439.1647010868,18581.1202332503,19039.7919812475,16274.3243525549,14821.5526825678,17865.7347580728,17199.1344825165,13628.3301940415,17107.8009104099,17995.6172610949,NA,18927.4064994329,NA,23969.080849236,28981.6430713436,NA,14541.2069286386,20284.7469030658,20985.0748655166,16851.3906697319,19068.3842818279,NA,29998.2328284313,16961.3679802185,20631.770625776,23684.9282262558,21546.6161092897,22480.2657057518,23423.9895452428,16388.6814370453,26398.408073956,22362.0553978778,21000.7052371067,16083.0157042658,NA,21767.1369441029,24708.9575312359,24366.0632153344,18928.4098337848,NA,26511.0254996604,25070.6585020357,17633.0556249318,19073.4083537005,26143.4309759068,25909.4644266775,16749.8339131594,14740.4733387966,25865.9370532979,24263.2483202007,NA,25689.8549632359,21897.9785349756,27354.3251240773,22232.3604840366,18305.4011065454,20179.2248178386,21484.1647075595,18054.2322637412,21462.6234449319,23839.2457641371,26569.838852556,16970.1350746863,14388.451186507,25432.524317018,20771.9590848133,19232.5534705075,14677.4372100787,22045.2979996058,NA,13879.2095297681,15782.7575704947,26930.2252936809,NA,17041.6234112155,17662.8942459955,25989.6920726525,18284.2908977403,19129.8044607316,17905.23851564,23903.6738711486,22201.0396000109,17396.2329171955,21062.7289638135,27577.1310809215,23899.0723298431,17966.0207124283,15295.5088679437,26758.2419630708,NA,16242.7350708791,17934.7829059381,27064.5537279903,28371.1170675142,14458.9017551809,23079.7899083196,35554.6199247307,17137.8880112352,16895.321917214,33513.5460929357,31570.1440426663,22172.25194276,NA,35549.0821559069,19960.7538966984,18196.5112570204,20765.8717249457,26135.0609095634,NA,NA,NA,23524.8638842968,NA
"3","[8871] 2-hydroxypyridine [6.519]",26363.0602695568,22013.8075625709,22518.4554398171,26381.102033256,24464.3758037848,21866.0335436976,20796.0737770282,NA,26448.9080300588,24888.2221511185,23519.1292584659,24074.7284925803,26291.5203206197,23353.9940487183,20309.945834069,24819.8303906567,25401.3878363919,22688.6949458506,NA,26102.8324495439,23740.7791132053,22675.0461581364,22282.7209502224,25171.2316522701,27274.3077087054,24380.3060703278,20338.8623156499,27678.8994357389,24453.7170924503,NA,23342.6955397686,25223.4665248891,28750.7920648743,20721.5088592357,19654.6720746149,23135.1592566775,NA,23073.909106512,20057.7713342184,26183.3796011251,30921.0313815373,22710.4638471742,23292.7738293625,NA,28087.4271308094,25331.6888085652,25041.9619113708,22655.6572655552,27212.8048998636,22573.6001799895,21300.2473392996,28237.4753338963,30173.8053036647,22545.3109254451,23836.0119268819,24692.2008076523,26516.7484735991,21808.6778436351,25037.3074752596,22068.9395707822,25020.2792358716,22862.6528751646,24951.0370033334,22438.1262976449,22534.9166543388,23201.3468428527,22931.3164367032,24541.9038252016,22318.0102208145,25131.4189509435,24804.3728631311,27295.3463141546,24902.3072739133,24440.6239971825,26482.5757244318,NA,23009.1831319639,22269.7301061488,27284.010230153,25293.6770220925,NA,28229.9675121912,22548.3739500882,26503.2718304532,NA,26176.7741587971,23725.1929822226,25120.6380703015,23604.0166940911,24977.7426612036,24679.910866199,27133.7119512853,23239.049192716,26905.870496184,25978.5762147421,28290.0952621485,29260.7336312326,25335.6579513826,24919.7820383746,27524.9646715679,24109.6656503385,NA,26822.2186838607,NA,NA,25877.3331923688,25950.4830477317,26191.0998778759,26573.3618365957,24607.5021941949,24951.0139535921,27453.5321219225,27958.7294359096,26141.1481609043,27702.3166681313,27845.1821051593,24545.1335149277,23138.5604652854,26812.4080444182,26177.1570640871,24409.174530196,25201.8865153252,24636.0504638062,28666.9847840455,20745.5354461888,24479.0718357339,28702.9524227518,20913.0444646334,24685.9616936835,30513.4272198624,30776.4944657951,25323.2508476449,259492.296089004,32490.8374928618,23805.165811155,22626.5877914448,21029.8944878719,24042.2825885992,24940.8226429781,24556.9411181448,27077.9033261178,24212.8616568287,24271.3384961547
"4","[1060] pyruvic acid [6.714]",145210.229399446,168578.126478712,172166.947160958,102819.800377167,135460.594424731,158326.519058104,142159.660623065,117017.701075467,157700.211769544,175816.658800624,153029.812520997,127769.41269613,155483.632830939,NA,122092.14938613,134328.255131653,NA,198917.437839778,125775.690894381,144616.342638955,145148.093896315,194935.818197027,114964.356536855,168346.1590507,134451.785068156,204767.856243634,100365.787663274,174134.523804827,143528.337210966,190718.937940258,126850.618823538,NA,136879.820515459,200024.315561704,114079.448932957,193346.141347751,114867.319043175,243204.863214467,127337.191822512,235207.304649328,88181.4996970804,NA,160362.268876155,255558.027780898,91808.2574603759,193996.837065378,282318.985540974,247918.332534125,111566.44629025,417642.170027997,232613.69378946,NA,120590.768300026,484706.580042758,521381.220908515,262517.737014515,128090.766613138,498142.284579453,380847.060884495,294730.744890379,134478.911452888,782413.695367581,745138.206642265,222257.146331837,216585.406848756,207504.614448108,206872.722233856,211763.395225558,197887.018955094,203448.472254991,216836.180500937,217429.107479919,NA,155874.266681166,108087.384545694,148015.915276553,102145.005756965,153977.994489846,121490.983812655,NA,106616.200368319,264201.808632179,112092.175761254,158200.120659674,105444.299849628,166270.354648084,135950.726269237,131623.570070869,105629.198135748,172941.618960998,258118.33902859,165576.255321332,94776.7472818588,161549.151952853,157949.875639802,165245.646572227,103592.974420234,180117.610142997,143571.708023156,168751.160760354,125012.687147026,177734.037676026,168748.83538659,155390.502716322,109269.14978131,173788.498992103,NA,165044.072066856,130042.664670875,210042.999452769,193221.117682476,176693.600109794,123986.547303242,239127.198337839,NA,NA,167609.543544814,242206.409678061,273598.690419763,225581.017207748,277880.66569483,261412.933504304,314602.765194226,264429.728637057,NA,274005.879397327,352250.254082385,NA,550984.969628718,350500.540040273,536343.711540052,382515.087582335,136996.063471459,470620.63483631,NA,204856.77414221,199349.597128481,210433.067323983,216431.801493613,206439.534969534,227669.353309459,212795.376961712,200351.412618229
"5","[107689] L-(+) lactic acid [6.851]",6087794.01116701,NA,5482544.53478713,3775698.79549132,6253881.6467255,6521350.59601227,5553606.33686533,3965689.29997157,6685580.21762319,6820099.51270221,6148921.44663323,4333614.09279562,7305378.1572527,7058525.39520181,6338980.39335824,4594048.18405728,7326324.03608099,7308473.42199972,6536008.55606232,5043801.30223449,7693249.03827288,7730827.66726738,7378427.38071187,5700346.81676915,8521497.63448953,NA,7560364.91319247,6389633.23167975,8145822.97177969,8252732.75680624,8063745.60283423,6505699.69956668,8708345.75074362,8226997.27636726,7644974.47067244,6433551.05944957,8455773.85115412,8429390.80080507,7952012.8668209,6546181.34463653,8663014.67040324,8524663.74043062,7669303.95070554,6830924.45175959,8737486.7192665,8116346.97009825,8902112.53764299,6391919.38055439,8353138.88771156,NA,7580987.71980644,6826731.41033979,8889727.62258163,9171915.59082358,7977638.37908291,6451948.20701914,8530192.39869125,NA,7883216.65382911,6593722.61766152,8860259.82148035,8906847.84106531,NA,5437824.04588198,7588128.58433049,7424811.482737,7300503.72289741,7276881.57992137,7413219.8779948,7325555.1363199,NA,7464643.94475453,4469938.54018456,7061651.30710769,6523509.5533151,6831726.85722631,4677708.29802171,6975112.62888973,6844804.82233852,7235608.17351723,5422476.50249753,9210319.73401629,7002085.77166155,7261261.70001528,5477126.7548136,7578508.01744824,7088350.20986005,7602083.63965245,5464257.99527422,NA,7845940.40663403,7910917.33525566,5768384.61135884,8881919.47526195,7746814.12314105,8069041.5440069,6266155.37721565,NA,7886705.47984742,NA,6041766.64766207,8156750.08670953,7883833.6060255,8192826.55396495,6214175.58286566,8592303.49874373,7737870.02641988,8148989.88857654,6254691.53508772,8462605.62491273,8100907.22871705,8707625.40720393,6469855.61376277,8720493.62768941,8274326.3980624,8267891.38376096,6494481.05431056,8319159.79178914,8333040.74317983,8092468.24392734,7530961.93539754,7755517.75832749,7865026.59632271,8133435.40315345,6458395.85202306,6903575.04624252,NA,6637739.12551986,9256748.89064249,9216072.64376024,8500076.8391489,7094021.42552343,488604.652269613,9535038.30573273,NA,7417809.04920027,NA,7247719.27138969,7433562.75865317,7365304.73253308,7600421.70444304,NA,7363258.18727792
"6","[757] glycolic acid [7.049]",8428.63136930233,6917.12438363725,6066.9633931828,8181.66794167762,9166.80292177179,6824.95528914262,6111.90488261929,8605.89230055547,12266.4234841161,7472.94992836784,7412.97009080136,9654.99988715662,13528.5615023626,7683.90698885097,7760.29178082426,9881.84493768794,13297.1837313532,8096.60857817287,6823.3714113194,12201.6235587756,14651.8875904119,8990.14259547723,9257.03608252018,NA,17373.7887618599,11853.8159970399,9184.34217217191,13818.014161395,18941.3572683305,10691.0411884081,10786.0277530339,15426.3500337165,21312.2744304117,13045.4847572825,12893.5091649648,17585.5299392163,24344.7932790571,14184.2007732208,15096.3980810995,20709.2760645445,26712.6266360053,NA,17549.9987986202,22408.9599642211,28472.9243591722,19584.826772977,18178.0704922636,NA,32012.2449370984,23499.3301162541,27760.6212582001,27799.7462301,37873.037691242,21219.0507564608,29572.0607111593,31823.4543764574,37343.4267087026,27799.0148821793,29255.0936276546,31172.7205140842,NA,31976.6047496572,34125.2558961625,33056.1098419112,19083.4845803241,19676.8590104133,19011.6052927879,18225.3998344074,19299.0907448009,NA,18510.3389240119,19932.6359467682,5458.21255891534,7166.42712874718,4571.85949073437,7683.20130516444,6608.36938015766,8414.36738389209,8781.81380905408,8831.12010284979,7838.32930370454,11221.0346430802,NA,9524.80932879863,9371.37210524993,NA,NA,8411.20466713751,9250.55099019972,11253.4259132069,23015.7231407219,NA,11322.9254514748,9133.18863105038,10359.3099891616,11679.595782638,NA,13256.5507211461,10053.3905551881,13630.8559336788,13242.5473208403,13613.6794606402,12751.3603821952,14587.5163876972,14426.3095147401,16083.4558828687,16041.2908523936,14817.140729739,16750.9371867699,18097.7200531881,16675.760050147,18955.2368642319,18030.1085708419,20663.7593641823,21041.4236238751,18166.5998163768,21185.3135544763,20803.1002129415,21512.9649621439,24279.0089491948,25601.5486631102,24075.1743728408,28238.15799803,31142.7965426561,NA,27216.3608382909,34971.8104727207,28307.6926418915,24096.7793421052,NA,37604.4837112275,38613.2239140376,1048030.36328413,37846.1084247569,37480.97765184,19799.0338687222,16887.4022060842,19628.2128716907,18649.0382957514,18896.1870327247,20491.3076082955,19314.1347624527,18237.7027086507
"7","L-valine(sum)",403005.828965452,337024.87722015,397930.797156865,433742.165522149,429599.816921917,310553.887375404,389416.824231066,459748.507444134,476005.44857882,336705.276448287,405336.308239262,472592.260884168,481746.972922846,336485.660656028,370456.436962689,460432.161071279,446872.180763581,354123.229976712,384450.67256649,491872.516614946,443179.890444883,NA,424832.836845367,501328.354833136,NA,379352.466406701,404423.834526101,470293.760255458,466530.613372601,359369.190887236,447352.360220653,NA,520757.32189159,392486.123240996,443652.210845951,506805.060138945,496447.946114989,421320.528134136,422442.40009849,531992.301021186,515516.19048488,448701.452041947,450456.187372715,556486.143002539,514264.976950022,435898.240986604,437558.617857468,489467.732013164,534425.352366912,NA,524526.980281101,535510.862904163,588045.928093223,465124.138477515,557871.463100759,562695.631353485,NA,543376.693419432,527299.446086307,569778.811173947,637517.661133959,654096.07804931,682455.567517662,NA,NA,NA,479964.154059593,464383.614508105,464325.467516529,469807.225288319,493980.770288554,489357.083851215,435757.445108911,438107.275975265,269101.102532722,385411.992631569,443164.98107481,417224.632335014,282273.601867089,393534.479995087,462188.193874032,515385.72954627,266180.9365785,417370.498261074,NA,437132.49164652,285349.901633114,353045.969373673,450019.026656767,463509.379504687,360577.835553307,423004.382488679,416414.902160368,397197.354326006,314003.047093618,428455.952548899,444893.300066613,439556.199827651,293522.875960055,444998.402537579,491307.504508043,452536.0317832,340027.214448381,424747.651425377,463611.922070173,NA,332980.461524991,428034.771199636,510341.646914704,484157.98454922,333518.775851679,447533.126547752,456906.03820479,511519.914894609,364643.822633072,412757.087709633,539220.025849676,489492.898156438,NA,461251.23142618,578327.633332265,525820.725395673,398280.357835314,548574.479832549,588544.68310479,630404.529499672,457323.441595199,612994.096993608,539050.657154852,428382.695671663,617160.38999431,741530.492828094,987992.14622811,477808.578171952,564687.793186387,495384.990635857,NA,485747.975891225,474562.575393773,479352.774174867,484955.459045758,477236.639591735,483233.102026304
"8","[49] 3-methyl-2-oxobutanoic acid 2 [7.928]",217.946998062896,NA,194.775527326858,335.130552781408,225.962885309657,159.419294456165,206.831989921889,NA,289.496089631099,184.094769575806,252.363305960607,178.545553684388,271.361160483531,159.500950785093,211.391348656384,250.222886750256,267.961626421332,254.519934384854,133.38819878646,318.577008858122,239.592830826971,220.307276218063,129.330141758685,275.131737537302,NA,205.080500965437,158.110626981454,247.636476980672,285.305186416896,186.808782112497,221.952073379064,222.732279064642,259.157376460176,249.69321838912,210.634366565319,274.999535139753,226.18329848032,246.920005613342,216.224499899155,273.751895460895,370.235965184913,267.778797756107,231.98405875218,331.539930628064,264.259009196722,307.385825579943,323.015771255249,327.394486971035,398.09155924636,358.98404638438,283.054002425889,398.046006730311,NA,372.829174155765,388.053604098657,387.077612588489,449.554315492581,433.700106096756,370.586834807038,340.165140168332,519.210030094235,441.239145888119,558.006075470349,218.016065897178,291.770108218785,261.232740292301,329.186194388614,317.740969073762,249.366583926375,255.084144896218,283.310222238341,NA,202.608490805425,182.870309166066,207.850037357393,319.749990254331,167.659785541431,226.358482588032,197.873435934075,277.906660938247,242.583567366295,465.076321368964,168.177313480432,348.469801493746,267.152955291125,196.833472636549,218.544013538748,289.077303988196,249.858838224431,276.864721805338,344.684314120869,259.200286824766,187.054288310564,167.669762291937,156.758560363622,318.442300846513,NA,253.926951538736,236.992051191221,310.640094233928,228.789515189681,235.683373739789,NA,299.262744013077,230.074390898619,202.465373624491,NA,214.977280453068,305.436855771072,281.859796050049,252.348069044542,313.541409609851,NA,299.121301483739,305.713719787176,277.933389776461,439.257171372561,326.103217493697,341.238698539197,297.510191129731,350.917750305005,356.304979788975,418.772159647965,487.826951691417,383.894928379762,599.849128147928,430.996047241257,639.647081100585,380.904354396272,627.016849171609,498.731692115557,792.274366579209,NA,504.723868483726,438.84233152981,324.054932163547,282.658246827894,370.118698972362,229.545534482351,NA,309.054504756703,264.868238633292,275.392674651392
"9","Butanoic acid, 2-(methoxyimino)-3-methyl-, trimethylsilyl ester",3913.72759886712,3082.03221951003,3588.9970469635,4050.15540699548,3810.75679974784,2485.61389165469,3073.54003867895,4600.5776904197,4159.98262034046,3501.69386500933,NA,4142.98851588872,4323.91088409107,2741.39116104422,2288.69399913889,4085.45382610408,3955.24055022511,3693.32830252555,2362.94950667717,4528.16514948731,3829.91833764235,3479.51540260702,3334.43469696028,4697.97859131056,4110.39982116073,3237.11751981983,2782.62063852536,3973.42300266189,4339.61052281124,2838.65669578877,3860.74977796543,4077.17564214109,4444.24347543488,3014.80377268663,3310.30304912574,3982.85073494662,4233.70138072915,3801.1677954193,3571.62170014011,5638.20764058446,4827.69069785678,NA,3611.73920032331,5542.38050119273,4826.11242758673,4951.3871102471,4579.09993268106,5224.34641721759,7005.82819519568,5572.76896610868,4916.90238915616,5433.77043885485,8152.79083426252,5477.96316962933,6112.95026265797,5874.5710657199,7986.13074648962,6678.56521683601,7260.57268039561,6683.73281076852,9268.07642189484,7964.81655042912,8434.10830144195,3995.61212755739,4780.17026277871,3771.94393267844,4232.10418390387,4782.68069458134,3277.69329156163,4343.47619699798,5258.73798273065,5455.02045604653,3238.45645061154,2895.73063326818,3283.7526364193,NA,3107.32492939257,3558.94337204526,3290.2793118093,4171.69222005503,3324.32989288405,6336.06310346996,2948.78926262042,5112.64043440171,3941.52593553755,3982.56411635923,2860.99501047183,3847.85553963749,2818.42593204697,4386.09822106593,NA,4729.04036449393,3251.29574030165,3426.13933824123,NA,4055.74540664831,3755.04541199372,3465.57303035213,NA,4692.60246282057,NA,3163.6726408676,2816.70928863481,4439.16576981479,4428.12067089488,3596.9882104688,3057.15166412861,3600.79453519279,5164.6407769149,NA,3630.65361292188,4085.40312043617,4066.85455070642,4639.53256952816,4219.061780993,NA,5274.9952688272,3767.26202449111,3257.26714114605,3250.26326608529,6300.03308180755,5190.90750860194,5157.88042006214,5962.60995168709,NA,9524.85553969707,6231.26828499441,8950.81789684423,4387.75935507502,8547.93884030005,NA,14099.9848099851,1630851.43617898,9061.15018263212,7271.13679074888,4604.91298228512,3919.51323622908,4449.91405658734,4687.3259655452,4510.81497830272,4877.69904981058,4926.80198049226,3924.84475202685
"10","[5950] L-alanine 1 [7.4748]",655657.85138836,577911.167716743,873879.942369666,660275.088568221,721480.991382,480139.007450722,873744.911916116,NA,789204.250484082,569934.080926026,903725.385740541,NA,816597.392929756,593557.769750022,847255.708168322,727858.778638482,768313.887328176,677891.843779959,877736.733514499,818751.725649273,NA,683238.848340858,1012585.53915374,864708.697167024,841613.206394964,752822.849373147,962882.503414451,842105.737598867,861064.084171036,766584.960107103,NA,908230.036040929,1009541.42215538,890401.191547239,1121227.04302671,983188.519047162,1035505.83221788,1017179.06258409,1113579.38390932,NA,NA,1150093.29804443,1241541.47900385,1283266.31082367,1212391.7720614,1299309.71136243,1259272.66466802,NA,1425936.15618638,1573537.90872902,1622788.96169588,1443979.81772779,1670009.18794397,1515981.40624419,1870384.94556774,NA,1690569.88613079,1798301.51031606,1839618.27893372,1654513.40519765,NA,2237011.47236558,NA,806848.048258595,1178479.45405262,1071352.96709891,1153558.69618156,1164527.33546877,1122173.57682333,NA,NA,1209068.0929255,804311.459998343,776213.385927438,601975.495752388,517101.055984538,800205.928138624,703509.382762836,609697.594116337,550443.577844465,848197.862334801,736458.902659694,639927.134776263,625659.623540335,884710.472718864,756235.092839434,640586.341003669,NA,919272.485691664,830305.825191086,NA,668317.786142568,861497.589299252,660418.734055162,803373.665924586,686550.529224871,987018.494637328,840873.540391234,763723.889180631,733601.844878995,1069161.06822572,795592.323753952,913620.011321171,686759.806761127,1072533.65024693,855443.293575635,913962.807153393,711807.284390024,1258485.81695234,931596.04825056,957056.393828871,790561.009643569,1173503.30947458,1135579.80365159,1098871.12878877,771061.390963382,1467486.3121137,1074173.51577716,1098408.21321294,914007.736822019,1605152.9833489,1419608.57776381,1432147.88444993,NA,1829559.56873936,1965977.19276511,1692463.55344086,1976955.92894166,1324573.80020996,1670631.4824598,1515583.06246993,2397615.74501497,153279.136261751,1888710.95004983,1464548.72459794,1181126.39259362,1097832.97008701,1188188.04514569,1117983.5111288,1176230.13513803,1144033.9933635,1146302.3187859,1150242.86007528
"11","[58] 2-ketobutyric acid [7.504]",10488.9322377148,8785.43945606558,NA,11069.9078498089,9276.6438582185,13341.634852933,11675.583113994,8750.36110406161,11021.6381661639,13768.7952495211,9099.1544741668,10118.9297860723,14493.0687222357,10428.7807276411,9634.43151538447,8614.69463238057,13298.4269669872,11307.4816199047,12359.4431465018,8238.00899997873,12683.3437889716,10894.7611003488,NA,NA,11106.355259749,11930.139502032,8858.24991169086,9137.51924955765,5880.89736012647,12038.5867940492,9286.92745261207,12451.5138941403,12910.0232596771,11030.8531454638,11672.2994956855,NA,12836.5095378686,8276.91955338169,7372.95793259369,11664.7342040359,7955.38890148687,8462.09459888511,6502.71526364721,9741.54369689358,12524.5279245628,4781.11507094545,8606.76044620708,6084.00352473545,NA,10574.0794291938,9069.49206227946,10450.2912231337,NA,12304.3830451481,NA,NA,4734.68554800028,5442.79284553303,9571.04056865912,8161.08817163746,9903.28805554363,9883.34695399547,9891.70056451093,10867.5642693477,13113.4723682954,10959.9814246138,6854.57615354518,6092.10062471281,11557.7068760216,NA,10566.210141014,7398.79454604491,11428.0760211693,11728.3832283903,NA,NA,9962.34811828817,11158.6373310482,10884.6654767593,11166.3749487844,10658.142687403,18208.1011853741,9803.73168742013,10660.4359271968,10587.300724834,11208.3814497966,10738.63196761,12301.4516771218,11011.8129290073,12369.8422478827,9668.1740985254,10786.5117362494,NA,NA,10389.2874125272,10956.3858504759,13239.1475803443,12329.3162772745,10449.2771183935,10871.1000879449,11115.455958759,12185.3317778697,10335.3397210314,11342.9145532857,12116.5231973312,13222.0502899642,10343.5607534642,10070.424565518,12337.9929119511,11512.1217655241,10897.1412535031,10963.7239335712,14378.7368833082,11888.0028204704,9752.70703095485,13216.6504785846,11264.4774558101,10560.5709212354,11057.8252592802,9695.84472087825,10067.4343076174,11457.424373742,8925.94015640615,8568.27386429595,10464.231067712,9114.66186621928,8140.5654873872,9768.62071552599,12316.9895194074,10289.8625784604,9672.45376856809,8705.61130161778,135611.489933291,12608.3998382056,10300.978812149,10366.8638291553,7575.09858889277,7955.03411002425,9434.55942707233,9218.95939158732,NA,9464.79742838108,9008.84393528319
